random_id,mean_rt_control,mean_rt_phon,mean_rt_sem,mean_rt_sem_phon,sd_rt_control,sd_rt_phon,sd_rt_sem,sd_rt_sem_phon,sum_correct_control,sum_correct_phon,sum_correct_sem,sum_correct_sem_phon,n_control,n_phon,n_sem,n_sem_phon
670911,1954.835583327468,2486.182833315205,1865.5683333124955,2107.7640909034276,470.40016936938173,609.719608237538,357.47022475218677,667.9062591324508,12,7,12,9,12,12,12,11
728051,2377.0274166654867,2309.5719090915536,2329.130249999949,2306.748666666144,333.7423018436147,484.4169469650992,197.9351798917051,148.18577857284978,12,11,12,12,12,11,12,12
762143,1900.7657499918969,1801.9748333249888,2031.9147272673165,1821.8259999911631,475.88309172810665,376.93714198716634,586.9660822565518,736.0203380262602,12,10,11,10,12,12,11,12
765024,2363.4560833240216,2060.720249993271,2120.7288333224924,2199.974333321712,276.7108096968061,195.92080408570564,426.2743129723946,691.3230346887642,12,9,12,12,12,12,12,12
770492,1863.551499960481,2290.2104166429467,2169.5418333134508,1737.7031666466767,639.3703583414978,698.865020999085,221.96467179683032,430.53696128483654,12,12,12,11,12,12,12,12
791267,2292.9029166676487,2113.3429166671353,2208.9469166669946,2312.6530000006082,211.39330757074862,492.0558573190659,294.3208648930695,683.1447930552017,12,12,12,12,12,12,12,12
802294,2171.5209166693494,2303.984083332873,2134.8105833315713,2017.9502500010774,533.3752723094314,839.177873127435,515.2310314928226,431.719195664616,12,11,12,12,12,12,12,12
806240,3338.0279166756955,3142.493833342752,3047.45191667886,3165.23033334927,737.6546789739149,554.7096242295362,626.6572038879941,648.9537965236267,12,12,12,11,12,12,12,12
824386,2282.5,2061.5000000000023,1834.1666666666667,1946.7499999999952,894.2007604559504,554.9407011728196,396.77193662980966,591.8071130790121,12,10,12,11,12,12,12,12
832970,2063.68449998898,2604.9384999534577,2146.062499971802,2385.4863636120135,203.599582231288,832.9599398487064,390.32338059466275,378.7592092567221,12,11,12,10,12,12,12,11
838605,2144.6804166635434,2476.882363631034,2249.8393333795684,2266.8347499945935,691.0143938682463,725.59253989192,423.15045697200156,639.4122796843093,12,10,12,12,12,11,12,12
859962,2256.9701666663873,2544.396916666525,2378.6945833331483,2594.737363636146,306.58476277831363,761.9429963636721,539.7252904607064,738.8558352423571,12,12,12,10,12,12,12,11
889057,2547.58983333311,2935.848272727171,2433.945583333156,3087.35949999988,282.7686274062098,627.8572124456388,362.3164458009818,557.0610966425103,12,7,12,10,12,11,12,10
889208,2452.5483333333445,2696.565000000006,2248.2116666666648,3039.924999999997,248.16575420595439,596.1446089437795,244.64361247381987,856.1110018991258,12,9,11,9,12,12,12,12
915385,2472.7500000000073,2505.7272727272725,2232.8333333333453,2378.4166666666665,394.54095881393187,549.6238879286618,283.93079609245274,505.23234229111824,12,9,12,11,12,11,12,12
917354,2196.2715454545687,2518.138750000036,2459.267000000034,2472.117583333357,526.0354622909646,662.5773032707041,654.3389653335645,483.390464184264,11,9,12,11,11,12,12,12
939383,2823.196833328953,3133.057999990393,3200.9026999928233,3073.7309999950726,515.0471218196861,762.5407966566028,582.2922442920369,749.1460550873654,12,6,8,9,12,8,10,12
953356,2367.679000262877,2449.5910002502897,2333.9528336243543,2476.5928334963464,374.9613859367024,373.81295440335344,207.13498368309047,465.7690721316817,12,10,12,12,12,12,12,12
955970,2208.7275833448257,2519.1285833404713,2041.7067500125838,2082.0780000104237,634.5203460757384,493.2073317891505,337.2408631295095,636.2158799959549,12,12,12,12,12,12,12,12
994927,2307.025500001039,2450.7186666674484,2626.8468181824082,2374.135833334278,476.6918021042725,488.0770709209758,366.67441339145,743.6304453855186,12,11,11,10,12,12,11,12
