random_id,condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time
294337,control,138.36363636363637,-115.72727272727273,84.18181818181819,-80.9090909090909,-74.15419414772579,704.5340909072639,46.82342710478064,474.5700000004568,-126.88311002646915,661.6759090897195,-38.87865140058403,-279.6363636363636,1.1818181818181819,1,0.5454545454545454,0.5454545454545454,1917.609545454029,0,25.744545453362992
294337,phon,117.33333333333333,-158.16666666666666,63.166666666666664,-132.83333333333334,4.282835810181243,949.5195833333395,91.07219294240308,887.7795833335864,-88.2860061343462,1123.8633333329308,-10.346077353776028,52.125,1.4166666666666667,1.3333333333333333,0.8333333333333334,0.8333333333333334,1901.0970833320996,0,14.911666667666092
294337,sem,125.25,-123.91666666666667,88.16666666666667,-89.91666666666667,5.782194189540198,478.188750001671,123.58529815345014,458.0954166679221,-108.92170199683017,388.2162500012455,10.783954899372935,1494.125,1.3333333333333333,1.4166666666666667,0.8333333333333334,0.75,1660.4816666694205,0,28.450000000496704
294337,sem_phon,150.33333333333334,-111.83333333333333,117.5,-67.33333333333333,183.70881490798536,1209.9845833302618,187.30022663013813,1131.0370833307618,-12.673642220793411,496.07958333341713,101.62957634667305,3197.7916666666665,1.25,1.5,0.9166666666666666,0.8333333333333334,2478.8474999985883,0,7.5320833336639526
457608,control,119.66666666666667,-130.58333333333334,111.91666666666667,-60.333333333333336,-9.839671037982137,688.8620833635941,41.93985558235046,263.1929166577538,-50.02055474698949,723.9912500373417,-4.306943235811464,-3274.4583333333335,1,1.1666666666666667,0.8333333333333334,0.75,1875.2379166738367,0,113.53875002016866
457608,phon,132.72727272727272,-150.27272727272728,43.63636363636363,-107.54545454545455,-9.599897420785139,479.76772726343455,46.68018103555691,135.6699999676983,-57.432309708871664,527.5168182030916,-8.309396221524805,-4757.863636363636,1.2727272727272727,1.2727272727272727,0.7272727272727273,0.5454545454545454,1450.1581818119064,0,15.709090935725147
457608,sem,135.33333333333334,-121.58333333333333,117.91666666666667,-61.166666666666664,56.12258274848365,661.9183333630099,101.87947141150994,641.6587500329297,-33.61507574425785,827.5350000089226,36.86712728362293,-2890.3333333333335,1.5833333333333333,1.5833333333333333,0.9166666666666666,0.75,1841.0520833567596,0,43.987500074015166
457608,sem_phon,111.72727272727273,-137,97.72727272727273,-100.0909090909091,46.2829635537591,430.501363621178,105.71907750417138,549.5572727258153,-66.05838502362994,745.8486363333624,19.279022874162195,-6126.772727272727,1.9090909090909092,1.2727272727272727,1.0909090909090908,0.7272727272727273,2144.030909096182,0,39.3527273130074
616008,control,90.36363636363636,-151.36363636363637,134.72727272727272,-105.81818181818181,21.37020236150663,685.6845453040958,102.30859373872917,656.1527270818121,-64.46903299917726,523.34636348192,17.069255467257467,-1595.8181818181818,1.2727272727272727,1.4545454545454546,0.45454545454545453,0.45454545454545453,2491.897727277459,0,3.616363656815586
616008,phon,217,-120,44,-184.25,90.97986652167062,971.8524998363282,105.74402839282092,889.2437499017445,-28.58181457770488,654.1837498856681,38.69758218232834,5161.25,1.0833333333333333,1.25,0.5833333333333334,0.16666666666666666,2174.085000063826,0,13.251666910905138
616008,sem,159.41666666666666,-141.75,120.16666666666667,-123.83333333333333,22.2441132864859,1010.7204165925463,78.80738230052077,362.604583302654,-65.25587723592987,1313.1533334953667,11.381600873302876,-3373.8333333333335,1.75,1.25,0.8333333333333334,0.6666666666666666,2858.3316667934664,0,1.3070832941448316
616008,sem_phon,114,-217,88.66666666666667,-123.16666666666667,-79.78466105380136,732.4591668633317,48.162648304944604,349.28416662538984,-132.28001125599525,490.2566668263947,-53.93180327454622,-2906.9583333333335,1.0833333333333333,1.4166666666666667,0.5833333333333334,0.8333333333333334,2195.6591666676964,0,38.42916650074949
633438,control,104.5,-118.08333333333333,117.66666666666667,-55.75,13.48780236394217,1824.5145833333318,120.74668107732218,1797.175000000004,-99.136678785925,1840.519583333334,13.837752035060827,2376.5833333333335,4.333333333333333,3.3333333333333335,1.3333333333333333,1.0833333333333333,4165.680000000003,10.339583333331879,1575.3729166666453
633438,phon,159.36363636363637,-86.63636363636364,128.54545454545453,-57.63636363636363,130.5672312281308,2574.011818181816,170.00837267099106,2847.472272727276,-54.95898495985167,1604.904999999995,37.81329358480066,-1834.090909090909,5.636363636363637,3.909090909090909,2.4545454545454546,1.5454545454545454,4779.806818181817,5.450454545453382,1695.590454545466
633438,sem,108.25,-152,94.58333333333333,-79.66666666666667,0.48642718234416904,2215.3387500000013,138.2555043450404,2486.4991666666742,-130.79007153186728,2646.9991666666683,-2.426563198437269,-2362.75,6.583333333333333,5.75,2.5,1.3333333333333333,4546.834166666675,29.673750000004173,1530.007083333363
633438,sem_phon,176.08333333333334,-117.58333333333333,121.25,-90.5,53.87817704798672,2447.479583333335,158.48267016859316,2719.9758333333316,-80.73423432096861,2231.3316666666674,15.653188722302476,-2029.1666666666667,7.416666666666667,5.166666666666667,3,1.4166666666666667,5181.487500000003,1.996666666668413,1805.9450000000008
791267,control,158.75,-77.08333333333333,93.25,-83.33333333333333,2.3864535282548487,2893.737083333124,84.73445112270683,3102.4404166668414,-78.87414176844403,2237.9366666664705,1.4626247850822849,-2066.0416666666665,2,1.5833333333333333,0.5833333333333334,0.5833333333333334,4918.057499999306,0,376.2833333299889
791267,phon,81.5,-177.66666666666666,92.91666666666667,-97.33333333333333,-24.029471751138118,2868.579166666241,67.45493294695882,2655.1920833331556,-105.04003497758066,1639.930000000164,-8.588845260804053,39.708333333333336,1.9166666666666667,2,0.75,1,4416.043750000823,0,358.8237500018404
791267,sem,114.25,-154.41666666666666,103.58333333333333,-77.5,-68.27157130481243,2449.1887500002645,33.4203068187806,2293.5712499997335,-102.74772018166392,2481.11416666761,-29.47079078006316,-1171.0416666666667,2.0833333333333335,1.9166666666666667,0.5,0.5,4440.917083335106,71.92749999981667,382.7950000000831
791267,sem_phon,126.16666666666667,-123.08333333333333,97.75,-96.16666666666667,-94.3465402938942,2912.070416667204,41.447208098699505,2035.4337500011763,-129.43034480404896,2831.7758333330385,-34.86016625427065,1446.1666666666667,2.3333333333333335,2.25,0.75,1,4759.2550000003175,1.9195833331917431,239.5258333318428
838605,control,157.25,-124.75,83.33333333333333,-77.75,80.92133544151164,559.0008333869191,98.90638751146366,681.0541667122525,-45.92949423725244,1229.9862500124993,15.570094284217292,3568.7916666666665,1.25,1.5,0.5833333333333334,0.4166666666666667,1906.8354166422407,0,44.96208331941549
838605,phon,67.4,-210.1,72.9,-116.6,12.455574716012716,690.7939999829935,38.58240502634929,587.9369999979011,-38.46063894498728,678.5154999699938,-2.8012067548185016,2679.95,1,1.4,0.1,0.1,1678.5069999983957,0,128.1220000469999
838605,sem,93.91666666666667,-142,100,-73.58333333333333,35.14556276082549,527.426666696585,77.99626169866467,500.36666668416484,-46.216387979034614,454.5433333843418,16.88470689800316,2610.9583333333335,1.3333333333333333,1.4166666666666667,0.3333333333333333,0.25,1942.4637500197543,0,16.065833333491657
838605,sem_phon,120.08333333333333,-167.58333333333334,79.33333333333333,-93.08333333333333,-36.83037404212393,467.9045833375009,30.86740894871127,399.8225000105037,-48.85123145400032,428.1545833412456,-17.49335416645117,-7986.666666666667,1.25,1.6666666666666667,0.08333333333333333,0.08333333333333333,1378.9770833682512,0,25.51083332699515
